question,answer
Ariana is past due on three bills. The first bill for $200 charges 10% simple interest for each overdue month and it's 2 months overdue. The second bill for $130 charges a flat $50 late fee per month and is 6 months overdue. The last bill is two months late and charges a $40 fee the first month overdue and twice that fee the second month overdue and is for $444. How much does Ariana owe in total?,"How much is the first bill? ** First find the monthly late fee for the first bill: $200 * 10% = $<<200*10*.01=20>>20
How much is the first bill? ** Then multiply that by the number of months the bill is overdue: $20/month * 2 months = $<<20*2=40>>40
How much is the second bill? ** Then find the total late fee for the second bill the same way: $50/month * 6 months = $<<50*6=300>>300
How much is the third bill? ** Then find the third bill's second late fee: 2 * $40 = $<<2*40=80>>80
How much does Aria owe in total? ** Then add all the bill amounts and late fees to find the total cost: $40 + $200 + $300 + $130 + $40 + $80 + $444 = $<<40+200+300+130+40+80+444=1234>>1234
#### 1234"
"Jenna runs a wholesale business. She pays $3 for each widget and resells it for $8. Every month she has to pay $10,000 in rent, 20% of her total profit in taxes, and $2,500 each to four workers. If Jenna sells 5000 widgets one month, how much is her total profit or loss?","How much does Jenna spend on salaries? ** First calculate how much Jenna spends on salaries: $2,500 * 4 = $<<2500*4=10000>>10,000
How much are Jenna's total fixed costs? ** Next find Jenna's total fixed costs by adding the cost of salaries and rent: $10,000 + $10,000 = $<<10000+10000=20000>>20,000
How much profit does Jenna make on each widget? ** Next calculate how much profit Jenna makes on each widget by subtracting the cost from the sale price: $8 - $3 = $<<8-3=5>>5
How much is Jenna's total profit or loss? ** Now multiply the profit per widget by the number of widgets sold: $5 * 5000 = $<<5*5000=25000>>25,000
How much is Jenna's total profit or loss? ** Now subtract Jenna's costs from her sales to find her total profit before taxes: $25,000 - $20,000 = $<<25000-20000=5000>>5,000
How much does Jenna owe in taxes? ** Now multiply Jenna's profit by her 20% tax rate to find how much she owe in taxes: $5,000 * .2 = $<<5000*.2=1000>>1,000
How much is Jenna's total profit or loss? ** Now subtract Jenna's taxes from her profit before taxes to find her total profit: $5,000 - $1,000 = $<<5000-1000=4000>>4,000
#### 4000"
"Miles is a musician.  He owns three fewer trumpets than he has fingers, and two more guitars than he has hands.  He also owns two more trombones than he has heads, and one fewer French horn than he has guitars.  What is the total number of musical instruments that Miles owns?","How many trumpets does Miles have? ** Three fewer trumpets than Miles has fingers is 10-3=<<10-3=7>>7 trumpets.
How many guitars does Miles have? ** Two more guitars than he has hands is 2+2=<<2+2=4>>4 guitars.
How many trombones does Miles have? ** Two more trombones than he has heads is 2+1=<<2+1=3>>3 trombones.
How many French horns does Miles have? ** And one fewer French horn than he has guitars is 4-1=<<4-1=3>>3 French horns.
What is the total number of musical instruments that Miles owns? ** Altogether, Miles owns 7+4+3+3=<<7+4+3+3=17>>17 musical instruments.
#### 17"
"Cid owns a mechanic shop, he charges $20 for an oil change, $30 for a repair, and $5 for a car wash. How much money did he earn if he changed the oil of 5 cars, repaired 10 cars, and washed 15 cars?","How much money did he earn from an oil change? ** The money he earned from an oil change is $20 x 5 =$ <<20*5=100>>100.
How much money did he earn from a repair? ** The money he earned from the repair is $30 x 10 = $<<30*10=300>>300.
How much money did he earn from a car wash? ** The money he earned from the car wash is $15 x 5 = $<<15*5=75>>75.
How much money did Cid earn? ** Therefore, Cid earned a total of $100 + $300 + $75 = $<<100+300+75=475>>475.
#### 475"
"Aubrie has four cards with the labels W, X, Y, Z printed on them. W is tagged with the number 200, X is tagged with half the number W is tagged with, Y is tagged with the total of X and W's tags and Z is tagged with the number 400. Calculate the total of all the tagged numbers.","How many points does the card with the letter X have? ** If the card with the letter X has half the number the card with letter W has, it has 1/2*200= 100
How many points do cards with letters W and X have? ** Together, cards with letters W and X have tags that total 100+200 = <<100+200=300>>300.
How many points do cards with letters W, X, and Y have? ** If the card with the letter Y has the total of the numbers cards with letters, W and X have, then the total for cards with letters W, X, and Y is 300+300 = 600
How many points do cards with letters W, X, and Y have? ** Since the card with the letter Z has a tag of 200, the total of the numbers the tags have is 600+400= 1000
#### 1000"
Kameron has 100 kangaroos on his large farm; Bert has 20 kangaroos on his farm. In how many more days will Bert have the same number of kangaroos as Kameron does now if he buys kangaroos at the same rate of 2 new kangaroos per day?,"How many more kangaroos does Kameron have than Bert? ** If Kameron has 100 kangaroos, he has 100-20= <<100-20=80>>80 more kangaroos than Bert.
How many days will Bert have the same number of kangaroos as Kameron does now? ** Buying 2 kangaroos every day, it will take Bert 80/2=40 days to have the same number of kangaroos as Kameron has now.
#### 40"
"There are 19 marbles in a bowl, 5 of which are yellow. The remainder are split into blue marbles and red marbles in the ratio 3:4 respectively. How many more red marbles than yellow marbles are there?","How many marbles are blue and red? ** 5 out of 19 marbles are yellow so the remainder which is 19-5 = <<19-5=14>>14 marbles are blue and red
How many marbles are in each ""share""? ** 14 marbles are split into blue and red in the ratio 3:4 so each ""share"" is 14/(3+4) = <<14/(3+4)=2>>2 marbles
How many red marbles are there? ** There are 4 ""shares"" of red marbles which totals to 4*2 = <<4*2=8>>8 red marbles
How many more red marbles than yellow marbles are there? ** There are 8-5 = <<8-5=3>>3 more red marbles than yellow marbles
#### 3"
"Delores has $450. She buys a computer for $400 and a printer for $40. How much money, in dollars, does Delores have left?","How much do the computer and printer cost together? ** The computer and printer cost 400+40=<<400+40=440>>440 dollars.
How much money does Delores have left? ** Delores has 450-440=<<450-440=10>>10 dollars left.
#### 10"
"A school is buying virus protection software to cover 50 devices.  One software package costs $40 and covers up to 5 devices. The other software package costs $60 and covers up to 10 devices.  How much money, in dollars, can the school save by buying the $60 software package instead of the $40 software package?","How many devices are there? ** There are 50/5 = <<50/5=10>>10 sets of 5 devices in the school.
How much will the school pay for the $40 software package? ** So the school will pay a total of $40 x 10 = $<<40*10=400>>400 for the $40 software package.
How many devices are there? ** There are 50/10 = <<50/10=5>>5 sets of 10 devices in the school.
How much will the school pay for the $60 software package? ** So the school will pay a total of $60 x 5 = $<<60*5=300>>300 for the $60 software package.
How much money, in dollars, can the school save by buying the $60 software package instead of the $40 software package? ** Thus, the school can save $400 - $100 = $<<400-100=300>>300 from buying the $60 software instead of the $40 software package.
#### 100"
Betsy is sewing a quilt.  The quilt is made up of 16 squares sewn together on one side and 16 squares sewn together on the other side.  Betsy has already sewn 25% of the quilt together.  How many more squares does she need to sew together?,"How many squares are in the quilt? ** The quilt is made of 16 squares on one side and 16 on the other so 16+16 = <<16+16=32>>32 squares total
How many squares has Betsy sewn together? ** She has already sewn 25% of the quilt so she has sown together .25*32 = <<25*.01*32=8>>8 squares
How many more squares does Betsy need to sew together? ** Betsy still has 32-8 = <<32-8=24>>24 more squares to sew together
#### 24"
"In a car dealership with 600 cars, 60% of the cars are hybrids, and 40% of the hybrids contain only one headlight. How many of the hybrids have full headlights?","How many hybrid cars are there? ** In the car dealership with 600 cars, 60% of the cars are hybrids, meaning there are 60/100*600 = <<60/100*600=360>>360 hybrid cars.
How many of the hybrids have only one headlight? ** Out of the 360 hybrid cars, 40% contain only one headlight. a total of 40/100*360 = <<40/100*360=144>>144 cars.
How many of the hybrids have full headlights? ** The total number of hybrid cars with full headlights is 360-144=<<360-144=216>>216
#### 216"
"Jen buys and sells candy bars. She buys candy bars for 80 cents each and sells them for a dollar each. If she buys 50 candy bars and sells 48 of them, how much profit does she make in cents?","How much does it cost Jen to buy 50 candy bars? ** It costs Jen 80 * 50 = <<80*50=4000>>4000 cents to buy 50 candy bars.
How much does Jen earn by selling 48 candy bars? ** Since a dollar is 100 cents, she earns 48 * 100 = <<48*100=4800>>4800 cents by selling 48 of them.
How much profit does Jen make? ** Thus her total profit is 4800 - 4000 = <<4800-4000=800>>800 cents.
#### 800"
Jaden had 14 toy cars. Then he bought 28 cars from the toy store and got 12 cars for his birthday. Jaden gave 8 of the toy cars to his sister and 3 to his friend Vinnie. How many toy cars does Jaden have left?,"How many cars did Jaden have after buying from the toy store? ** Jaden had a total of 14 cars + 28 cars = <<14+28=42>>42 cars after buying from the toy store.
How many cars did Jaden have on his birthday? ** His total then increased to 42 cars + 12 cars = <<42+12=54>>54 cars on his birthday.
How many cars does Jaden have left? ** Jaden then had 54 cars - 8 cars = <<54-8=46>>46 cars after giving 8 to his sister.
How many toy cars does Jaden have left? ** Finally after giving his friend, Vinnie, a few cars Jaden had 46 cars - 3 cars = <<46-3=43>>43 cars left.
#### 43"
